,date,state,fips,cases,deaths,epoch_ms
339,2020-03-06,NORTHCAROLINA,37,2,0,1583481600000
340,2020-03-06,OKLAHOMA,40,1,0,1583481600000
341,2020-03-06,OREGON,41,2,0,1583481600000
342,2020-03-06,PENNSYLVANIA,42,2,0,1583481600000
343,2020-03-06,RHODEISLAND,44,3,0,1583481600000
344,2020-03-06,SOUTHCAROLINA,45,2,0,1583481600000
345,2020-03-06,TENNESSEE,47,1,0,1583481600000
346,2020-03-06,TEXAS,48,19,0,1583481600000
347,2020-03-06,UTAH,49,3,0,1583481600000
348,2020-03-06,WASHINGTON,53,86,12,1583481600000
349,2020-03-06,WISCONSIN,55,1,0,1583481600000
350,2020-03-07,ARIZONA,4,5,0,1583568000000
351,2020-03-07,CALIFORNIA,6,100,1,1583568000000
352,2020-03-07,COLORADO,8,8,0,1583568000000
353,2020-03-07,DISTRICTOFCOLUMBIA,11,1,0,1583568000000
354,2020-03-07,FLORIDA,12,12,2,1583568000000
355,2020-03-07,GEORGIA,13,7,0,1583568000000
356,2020-03-07,HAWAII,15,1,0,1583568000000
357,2020-03-07,ILLINOIS,17,6,0,1583568000000
358,2020-03-07,INDIANA,18,1,0,1583568000000
359,2020-03-07,KANSAS,20,1,0,1583568000000
360,2020-03-07,KENTUCKY,21,1,0,1583568000000
361,2020-03-07,MARYLAND,24,3,0,1583568000000
362,2020-03-07,MASSACHUSETTS,25,13,0,1583568000000
363,2020-03-07,MINNESOTA,27,1,0,1583568000000
364,2020-03-07,MISSOURI,29,1,0,1583568000000
365,2020-03-07,NEBRASKA,31,14,0,1583568000000
366,2020-03-07,NEVADA,32,2,0,1583568000000
367,2020-03-07,NEWHAMPSHIRE,33,4,0,1583568000000
368,2020-03-07,NEWJERSEY,34,4,0,1583568000000
369,2020-03-07,NEWYORK,36,89,0,1583568000000
370,2020-03-07,NORTHCAROLINA,37,2,0,1583568000000
371,2020-03-07,OKLAHOMA,40,1,0,1583568000000
372,2020-03-07,OREGON,41,6,0,1583568000000
373,2020-03-07,PENNSYLVANIA,42,4,0,1583568000000
374,2020-03-07,RHODEISLAND,44,3,0,1583568000000
375,2020-03-07,SOUTHCAROLINA,45,2,0,1583568000000
376,2020-03-07,TENNESSEE,47,1,0,1583568000000
377,2020-03-07,TEXAS,48,19,0,1583568000000
378,2020-03-07,UTAH,49,3,0,1583568000000
379,2020-03-07,VERMONT,50,1,0,1583568000000
380,2020-03-07,VIRGINIA,51,1,0,1583568000000
381,2020-03-07,WASHINGTON,53,110,16,1583568000000
382,2020-03-07,WISCONSIN,55,1,0,1583568000000
383,2020-03-08,ARIZONA,4,5,0,1583654400000
384,2020-03-08,CALIFORNIA,6,112,1,1583654400000
385,2020-03-08,COLORADO,8,8,0,1583654400000
386,2020-03-08,CONNECTICUT,9,1,0,1583654400000
387,2020-03-08,DISTRICTOFCOLUMBIA,11,1,0,1583654400000
388,2020-03-08,FLORIDA,12,13,2,1583654400000
389,2020-03-08,GEORGIA,13,11,0,1583654400000
390,2020-03-08,HAWAII,15,2,0,1583654400000
391,2020-03-08,ILLINOIS,17,7,0,1583654400000
392,2020-03-08,INDIANA,18,2,0,1583654400000
393,2020-03-08,IOWA,19,3,0,1583654400000
394,2020-03-08,KANSAS,20,1,0,1583654400000
395,2020-03-08,KENTUCKY,21,4,0,1583654400000
396,2020-03-08,MARYLAND,24,5,0,1583654400000
397,2020-03-08,MASSACHUSETTS,25,28,0,1583654400000
398,2020-03-08,MINNESOTA,27,2,0,1583654400000
399,2020-03-08,MISSOURI,29,1,0,1583654400000
400,2020-03-08,NEBRASKA,31,16,0,1583654400000
401,2020-03-08,NEVADA,32,4,0,1583654400000
402,2020-03-08,NEWHAMPSHIRE,33,4,0,1583654400000
403,2020-03-08,NEWJERSEY,34,6,0,1583654400000
404,2020-03-08,NEWYORK,36,106,0,1583654400000
405,2020-03-08,NORTHCAROLINA,37,2,0,1583654400000
406,2020-03-08,OKLAHOMA,40,1,0,1583654400000
407,2020-03-08,OREGON,41,13,0,1583654400000
408,2020-03-08,PENNSYLVANIA,42,6,0,1583654400000
409,2020-03-08,RHODEISLAND,44,3,0,1583654400000
410,2020-03-08,SOUTHCAROLINA,45,6,0,1583654400000
411,2020-03-08,TENNESSEE,47,3,0,1583654400000
412,2020-03-08,TEXAS,48,23,0,1583654400000
413,2020-03-08,UTAH,49,3,0,1583654400000
414,2020-03-08,VERMONT,50,1,0,1583654400000
415,2020-03-08,VIRGINIA,51,2,0,1583654400000
416,2020-03-08,WASHINGTON,53,141,19,1583654400000
417,2020-03-08,WISCONSIN,55,1,0,1583654400000
418,2020-03-09,ARIZONA,4,6,0,1583737200000
419,2020-03-09,CALIFORNIA,6,172,2,1583737200000
420,2020-03-09,COLORADO,8,12,0,1583737200000
421,2020-03-09,CONNECTICUT,9,2,0,1583737200000
422,2020-03-09,DISTRICTOFCOLUMBIA,11,4,0,1583737200000
423,2020-03-09,FLORIDA,12,14,2,1583737200000
424,2020-03-09,GEORGIA,13,17,0,1583737200000
425,2020-03-09,HAWAII,15,2,0,1583737200000
426,2020-03-09,ILLINOIS,17,11,0,1583737200000
427,2020-03-09,INDIANA,18,4,0,1583737200000
428,2020-03-09,IOWA,19,8,0,1583737200000
429,2020-03-09,KANSAS,20,1,0,1583737200000
430,2020-03-09,KENTUCKY,21,5,0,1583737200000
431,2020-03-09,LOUISIANA,22,1,0,1583737200000
432,2020-03-09,MARYLAND,24,6,0,1583737200000
433,2020-03-09,MASSACHUSETTS,25,41,0,1583737200000
434,2020-03-09,MINNESOTA,27,2,0,1583737200000
435,2020-03-09,MISSOURI,29,1,0,1583737200000
436,2020-03-09,NEBRASKA,31,16,0,1583737200000
437,2020-03-09,NEVADA,32,4,0,1583737200000
438,2020-03-09,NEWHAMPSHIRE,33,4,0,1583737200000
439,2020-03-09,NEWJERSEY,34,11,0,1583737200000
440,2020-03-09,NEWYORK,36,142,0,1583737200000
441,2020-03-09,NORTHCAROLINA,37,7,0,1583737200000
442,2020-03-09,OHIO,39,3,0,1583737200000
443,2020-03-09,OKLAHOMA,40,1,0,1583737200000
444,2020-03-09,OREGON,41,13,0,1583737200000
445,2020-03-09,PENNSYLVANIA,42,10,0,1583737200000
446,2020-03-09,RHODEISLAND,44,3,0,1583737200000
447,2020-03-09,SOUTHCAROLINA,45,7,0,1583737200000
448,2020-03-09,TENNESSEE,47,4,0,1583737200000
449,2020-03-09,TEXAS,48,24,0,1583737200000
