County Formatted,County,State Formatted,State,Population
Bleckley,BLECKLEY,Georgia,GEORGIA,12873
Brantley,BRANTLEY,Georgia,GEORGIA,19109
Brooks,BROOKS,Georgia,GEORGIA,15457
Bryan,BRYAN,Georgia,GEORGIA,39627
Bulloch,BULLOCH,Georgia,GEORGIA,79608
Burke,BURKE,Georgia,GEORGIA,22383
Butts,BUTTS,Georgia,GEORGIA,24936
Calhoun,CALHOUN,Georgia,GEORGIA,6189
Camden,CAMDEN,Georgia,GEORGIA,54666
Candler,CANDLER,Georgia,GEORGIA,10803
Carroll,CARROLL,Georgia,GEORGIA,119992
Catoosa,CATOOSA,Georgia,GEORGIA,67580
Charlton,CHARLTON,Georgia,GEORGIA,13392
Chatham,CHATHAM,Georgia,GEORGIA,289430
Chattahoochee,CHATTAHOOCHEE,Georgia,GEORGIA,10907
Chattooga,CHATTOOGA,Georgia,GEORGIA,24789
Cherokee,CHEROKEE,Georgia,GEORGIA,258773
Clarke,CLARKE,Georgia,GEORGIA,128331
Clay,CLAY,Georgia,GEORGIA,2834
Clayton,CLAYTON,Georgia,GEORGIA,292256
Clinch,CLINCH,Georgia,GEORGIA,6618
Cobb,COBB,Georgia,GEORGIA,760141
Coffee,COFFEE,Georgia,GEORGIA,43273
Colquitt,COLQUITT,Georgia,GEORGIA,45600
Columbia,COLUMBIA,Georgia,GEORGIA,156714
Cook,COOK,Georgia,GEORGIA,17270
Coweta,COWETA,Georgia,GEORGIA,148509
Crawford,CRAWFORD,Georgia,GEORGIA,12404
Crisp,CRISP,Georgia,GEORGIA,22372
Dade,DADE,Georgia,GEORGIA,16116
Dawson,DAWSON,Georgia,GEORGIA,26108
Decatur,DECATUR,Georgia,GEORGIA,26404
DeKalb,DEKALB,Georgia,GEORGIA,759297
Dodge,DODGE,Georgia,GEORGIA,20605
Dooly,DOOLY,Georgia,GEORGIA,13390
Dougherty,DOUGHERTY,Georgia,GEORGIA,87956
Douglas,DOUGLAS,Georgia,GEORGIA,146343
Early,EARLY,Georgia,GEORGIA,10190
Echols,ECHOLS,Georgia,GEORGIA,4006
Effingham,EFFINGHAM,Georgia,GEORGIA,64296
Elbert,ELBERT,Georgia,GEORGIA,19194
